CODING_GENE	COUNT	GHART291b	GHART291b_2
NBEAP3	0	0	0
LA16C-60H5.7	0	0	0
AP000525.9	0	0	0
LA16C-3G11.7	0	0	0
POTEH	0	0	0
NF1P6	0	0	0
MED15P7	0	0	0
SLC9B1P4	0	0	0
KCNMB3P1	0	0	0
TPTEP1	2	c	c
PARP4P3	0	0	0
SLC25A15P5	0	0	0
ANKRD62P1-PARP4P3	0	0	0
AC005301.8-XKR3	0	0	0
ZNF402P	0	0	0
AC007064.22	0	0	0
IGKV2OR22-4	0	0	0
CECR1	0	0	0
AC004019.18	0	0	0
CECR2	0	0	0
PEX26	0	0	0
XXBAC-B476C20.9	0	0	0
XXBAC-B476C20.11	0	0	0
TUBA8	0	0	0
GGT3P	0	0	0
AC008132.13	0	0	0
BCRP7	0	0	0
DGCR2	0	0	0
CLTCL1	0	0	0
MRPL40	0	0	0
HIRA	0	0	0
C22ORF39	0	0	0
AC000068.5	0	0	0
GNB1L	0	0	0
C22ORF29	0	0	0
COMT	0	0	0
MIR4761	0	0	0
ARVCF	0	0	0
MED15	0	0	0
AC007050.18	0	0	0
PI4KA	0	0	0
PPIL2	0	0	0
YPEL1	0	0	0
IGLV11-55	0	0	0
IGLV11-55-IGLV10-54	0	0	0
IGLVI-56	0	0	0
IGLV1-44	0	0	0
IGLV5-45	0	0	0
IGLV7-43	0	0	0
IGLV1-44-IGLV7-43	0	0	0
IGLV5-37	0	0	0
IGLV1-36	0	0	0
IGLVI-38	0	0	0
KB-288A10.17	0	0	0
IGLV7-35	0	0	0
GGTLC2	0	0	0
POM121L1P	0	0	0
GGTLC2-IGLV3-29	0	0	0
IGLV3-16	0	0	0
LL22NC03-24A12.8-D86998.1	0	0	0
IGLL5	0	0	0
IGLC2	0	0	0
IGLJ2-IGLC2	0	0	0
IGLJ3	0	0	0
IGLC1	0	0	0
IGLJ2	0	0	0
AP000362.1	0	0	0
FBXW4P1	0	0	0
BCR	0	0	0
LL22NC03-N27C7.1	0	0	0
ZNF70	2	c	c
MMP11	0	0	0
AP000349.1	0	0	0
DERL3	0	0	0
SMARCB1	0	0	0
CABIN1	0	0	0
SUSD2	0	0	0
BCRP1	0	0	0
POM121L9P	0	0	0
SPECC1L-ADORA2A	0	0	0
SPECC1L	0	0	0
GGT1	0	0	0
ARL5AP4	0	0	0
AP000357.4	0	0	0
AP000357.4-AP000358.5	0	0	0
KIAA1671	0	0	0
CRYBB3	0	0	0
CTA-246H3.11	0	0	0
LRP5L	0	0	0
MYO18B	0	0	0
SEZ6L	0	0	0
TPST2	0	0	0
MIR548J	0	0	0
CHEK2	0	0	0
CTA-984G1.5	0	0	0
RHBDD3	0	0	0
EMID1	0	0	0
EWSR1	2	c	c
AP1B1	0	0	0
SNORD125	0	0	0
THOC5	0	0	0
NIPSNAP1	0	0	0
CABP7	0	0	0
ZMAT5	0	0	0
ASCC2	0	0	0
MTMR3	0	0	0
CTA-85E5.10	0	0	0
RP1-130H16.18	0	0	0
GATSL3	0	0	0
RNF215	0	0	0
SEC14L2	0	0	0
OSBP2	0	0	0
EIF4HP2	0	0	0
PISD	0	0	0
SFI1	0	0	0
PRR14L	0	0	0
DEPDC5	0	0	0
SLC5A1	0	0	0
RTCB	0	0	0
BPIFC	0	0	0
FBXO7	0	0	0
SYN3	0	0	0
CTA-415G2.2	0	0	0
LARGE	0	0	0
APOL6	0	0	0
RBFOX2	0	0	0
MYH9	2	c	c
RN7SL349P	0	0	0
MPST	0	0	0
Y_RNA	0	0	0
TST	0	0	0
TMPRSS6	0	0	0
IL2RB	0	0	0
CDC42EP1	0	0	0
LGALS2	0	0	0
TRIOBP	0	0	0
NOL12	0	0	0
GCAT	0	0	0
CSNK1E	0	0	0
RP3-449O17.1	0	0	0
JOSD1	0	0	0
TOMM22	0	0	0
RP3-508I15.9	0	0	0
APOBEC3C	0	0	0
APOBEC3D	0	0	0
SNORD83A	0	0	0
SNORD43	0	0	0
RPL3	0	0	0
GRAP2	0	0	0
RP3-370M22.8	0	0	0
ADSL	0	0	0
SGSM3	0	0	0
MKL1	0	0	0
EP300	0	0	0
RANGAP1	0	0	0
DESI1	0	0	0
XRCC6	0	0	0
MEI1	0	0	0
WBP2NL	0	0	0
SEPT3	0	0	0
NDUFA6-AS1	0	0	0
RP4-669P10.19	0	0	0
CYP2D6	0	0	0
CYP2D8P	0	0	0
TCF20	0	0	0
SERHL	0	0	0
RRP7A	0	0	0
ARFGAP3	0	0	0
PACSIN2	0	0	0
TTLL1	0	0	0
MPPED1	0	0	0
EFCAB6	0	0	0
SULT4A1	0	0	0
PARVB	0	0	0
ARHGAP8	2	c	c
PRR5-ARHGAP8	2	c	c
PRR5	2	c	c
PHF21B	0	0	0
SMC1B	0	0	0
RP1-102D24.5	0	0	0
RIBC2	0	0	0
PPARA	0	0	0
TTC38	0	0	0
CELSR1	0	0	0
GRAMD4	0	0	0
TTLL8	0	0	0
MOV10L1	2	c	c
TUBGCP6	2	c	c
SELO	2	c	c
HDAC10	0	0	0
MAPK12	0	0	0
DENND6B-PPP6R2	0	0	0
ADM2	0	0	0
MIOX	0	0	0
LMF2	2	c	c
NCAPH2	2	c	c
TYMP	0	0	0
ODF3B	0	0	0
SCO2	0	0	0
